hhid,region,s04q01a,s04q02a,s04q02a_autre,s04q01b,s04q02b,s04q02b_autre,s04q01c,s04q02c,s04q02c_autre,s04q01d,s04q02d,s04q02d_autre,s04q01e,s04q02e,s04q02e_autre,s04q01f,s04q02f,s04q02f_autre,s04q01g,s04q02g,s04q02g_autre,s04q025__1,s04q025__2,s04q025__3,s04q025__4,s04q025__5,s04q06,s04q07,s04q08,s04q11a,s04q11b__1,s04q11b__2,s04q11b__3,s04q11b__4,s04q11b__5,s04q11b__6,s04q11b__7,s04q11b_aut,p0,hhweight_covid,domaine_residence
20001,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,318.1947326660156,Autres_urbains
20002,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,318.1947326660156,Autres_urbains
20005,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,0,0,1,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,0,0,0,,Non Pauvres,318.1947326660156,Autres_urbains
20006,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Pauvres,495.9228820800781,Autres_urbains
20007,Kayes,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,1,0,0,1,0,,Non Pauvres,318.1947326660156,Autres_urbains
20009,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,0,1,0,0,0,,Pauvres,495.9228820800781,Autres_urbains
20010,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé mais ne frequentais pas l'ecole à cause de la greve des enseignants",,,,,,,,,,,Pauvres,495.9228820800781,Autres_urbains
20011,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,318.1947326660156,Autres_urbains
20012,Kayes,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,318.1947326660156,Autres_urbains
50003,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,267.1474609375,Autres_urbains
50005,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,267.1474609375,Autres_urbains
50009,Kayes,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,NON,,,,,,,,,,,,Non Pauvres,267.1474609375,Autres_urbains
50011,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,267.1474609375,Autres_urbains
100001,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Pauvres,2973.935791015625,Rural
100005,Kayes,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Non Pauvres,2836.51806640625,Rural
120006,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,1447.50146484375,Rural
120008,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Pauvres,1517.6270751953125,Rural
120011,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,0,0,1,0,0,0,0,,Non Pauvres,1447.50146484375,Rural
130002,Kayes,NON,AUTRES (specifier) ,Pauvrèté,OUI,,,OUI,,,N'A PAS ESSAYÉ,,,NON,AUTRES (specifier) ,Pauvrété,NON,AUTRES (specifier) ,Pauvrété,N'A PAS ESSAYÉ,,,0,0,0,1,0,OUI,Non,,,,,,,,,,,Non Pauvres,3377.503662109375,Rural
130004,Kayes,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Seulement les enfants en classe d'examen,,,,,,,,,Pauvres,3541.1298828125,Rural
130006,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Tous les enfants scolarisés sont revenus à l'école,,,,,,,,,Pauvres,3541.1298828125,Rural
130007,Kayes,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,1,0,0,0,0,NON,,,,,,,,,,,,Pauvres,3541.1298828125,Rural
130008,Kayes,N'A PAS ESSAYÉ,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,0,0,1,0,0,,Non Pauvres,3377.503662109375,Rural
140008,Kayes,N'A PAS ESSAYÉ,,,OUI,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,N'A PAS ESSAYÉ,,,OUI,,,0,0,0,1,0,OUI,"Oui, scolarisé et frequentait l'ecole",,Aucun,1,0,1,0,0,0,0,,Non Pauvres,1520.607666015625,Rural
